instance_type,cluster_size,problem_size,exec_time
m4.large,1,100,12.4
m4.large,1,100,12.8
m4.large,1,100,12.3
m4.large,2,100,9.5
m4.large,2,100,9.8
m4.large,2,100,9.9
m4.large,3,100,5.8
m4.large,3,100,5.7
m4.large,3,100,5.2
m4.large,4,100,3.8
m4.large,4,100,4.8
m4.large,4,100,4.8
m4.large,5,100,3.6
m4.large,5,100,3.1
m4.large,5,100,3.0
m4.large,6,100,3.0
m4.large,6,100,2.9
m4.large,6,100,3.0
m4.large,7,100,2.4
m4.large,7,100,2.5
m4.large,7,100,2.5
m4.large,8,100,2.2
m4.large,8,100,2.0
m4.large,8,100,2.2
m5.xlarge,1,200,12.2
m5.xlarge,1,200,11.9
m5.xlarge,1,200,12.4
m5.xlarge,2,200,6.4
m5.xlarge,2,200,9.3
m5.xlarge,2,200,9.1
m5.xlarge,3,200,4.3
m5.xlarge,3,200,4.3
m5.xlarge,3,200,4.6
m5.xlarge,4,200,4.0
m5.xlarge,4,200,3.6
m5.xlarge,4,200,3.4
m5.xlarge,5,200,3.0
m5.xlarge,5,200,2.9
m5.xlarge,5,200,3.2
m5.xlarge,6,200,2.7
m5.xlarge,6,200,2.6
m5.xlarge,6,200,2.5
m5.xlarge,7,200,2.4
m5.xlarge,7,200,2.4
m5.xlarge,7,200,2.4
